City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
200,La Palma,US,76.96,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
201,Axim,GH,80.06,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
202,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
204,Nicoya,CR,82.27,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
207,Ponta Do Sol,PT,56.01,scattered clouds,32.6667,-17.1,Hotel do Campo
209,Cabedelo,BR,77.67,clear sky,-6.9811,-34.8339,Hotel Pigalle
213,Ca Mau,VN,79.9,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
214,Kirakira,SB,81.36,overcast clouds,-10.4544,161.9205,SanBiz Lodge
215,Kalmunai,LK,77.34,few clouds,7.4167,81.8167,VS Villa
216,Eureka,US,54.93,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
217,Puerto El Triunfo,SV,86.92,overcast clouds,13.2833,-88.55,Hotel Jardin
220,Oliveira Dos Brejinhos,BR,73.98,scattered clouds,-12.3169,-42.8961,Hotel Paraiso
221,Otane,NZ,67.01,scattered clouds,-39.8833,176.6333,Ludlow Farmstay
223,Shingu,JP,59.45,clear sky,33.7333,135.9833,Shingu UI Hotel
224,East London,ZA,64.53,clear sky,-33.0153,27.9116,Tu Casa
225,Luwuk,ID,83.7,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
226,Cayenne,GF,81.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
227,Ilhabela,BR,74.53,light rain,-23.7781,-45.3581,Ilha Flat Hotel
228,Sanmenxia,CN,67.03,clear sky,34.7747,111.1814,Pengzhou Hotel
230,Bayeux,BR,77.63,clear sky,-7.125,-34.9322,Infinity Motel
236,Ha Giang,VN,68.7,scattered clouds,22.8333,104.9833,Truong Xuan Resort
237,Saldanha,ZA,59.05,light rain,-33.0117,17.9442,Blue Bay Lodge
238,Yulara,AU,75.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
239,Atambua,ID,80.38,clear sky,-9.1061,124.8925,Kost Alfa Flat
241,Liaocheng,CN,63.68,overcast clouds,36.4439,115.9647,凯旋宫大酒店
242,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
243,Erzin,TR,57.31,scattered clouds,36.9559,36.2,Artemis Otel
244,Ambon,ID,89.74,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
245,Mar Del Plata,AR,60.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
248,Denizli,TR,58.15,overcast clouds,37.8402,29.0698,Anemon Denizli Hotel
249,Huayucachi,PE,50.81,broken clouds,-12.1333,-75.2333,HOSTAL MOLINOS - cochera
250,Ariquemes,BR,73.87,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
251,Hukuntsi,BW,67.69,clear sky,-24.0,21.75,Entabeni Hotel
252,Waipawa,NZ,67.71,light rain,-41.4122,175.5153,Tora Coastal Walk
253,Pitimbu,BR,77.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
254,Batemans Bay,AU,66.09,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
256,Sao Filipe,CV,71.11,clear sky,14.8961,-24.4956,Hotel Xaguate
257,Saint-Joseph,RE,74.21,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
258,Calama,CL,55.87,clear sky,-22.4667,-68.9333,Park Hotel Calama
259,Chhatarpur,IN,79.36,clear sky,24.9,79.6,Hotal Moti Mahal
260,Puerto Carreno,CO,79.99,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
261,La Esperanza,GT,61.52,broken clouds,14.8667,-91.5667,Posada Don Teco
262,Santiago,CL,73.29,clear sky,-33.4569,-70.6483,Hotel Panamericano
263,Ardmore,US,60.58,moderate rain,34.1743,-97.1436,"Motel 6 Ardmore, OK"
264,Sao Joao Da Barra,BR,77.47,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
266,Mastung,PK,58.95,clear sky,29.7994,66.845,Al Hasnan Cold Drink Santer
267,Honiara,SB,80.62,overcast clouds,-9.4333,159.95,Heritage Park Hotel
268,Tonantins,BR,74.59,broken clouds,-2.8731,-67.8022,Hotel Hortensias
270,Dong Hoi,VN,67.12,overcast clouds,17.4833,106.6,Nam Long Hotel
273,Te Anau,NZ,63.72,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
274,Katobu,ID,83.46,overcast clouds,-4.9408,122.5276,La Ode Husein
277,Faanui,PF,82.96,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
278,Pacific Grove,US,70.38,clear sky,36.6177,-121.9166,Lovers Point Inn
279,Kavieng,PG,82.47,light rain,-2.5744,150.7967,Nusa Island Retreat
281,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
282,Hays,US,77.22,overcast clouds,30.0502,-98.0336,Sinya on Lone Man Creek
284,Dubrajpur,IN,77.16,clear sky,23.8,87.3833,Garai Hotel
286,Udankudi,IN,78.98,few clouds,8.4333,78.0167,"SRI ANANDHI TRADERS,UDANGUDI"
287,Richmond,US,59.23,broken clouds,37.5538,-77.4603,"Holiday Inn Express Richmond - Downtown, an IHG Hotel"
291,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
293,Arrifes,PT,50.25,scattered clouds,37.7667,-25.7,Hotel Ponta Delgada
294,Lamu,KE,82.62,clear sky,-2.2717,40.902,Lamu House
296,Chaiyaphum,TH,74.8,few clouds,15.75,102.0,BBM Hotel
298,Nabire,ID,86.31,broken clouds,-3.3667,135.4833,Hotel Nusantara I
299,Byron Bay,AU,79.72,clear sky,-28.65,153.6167,Backpackers Inn
300,Tahta,EG,77.04,clear sky,26.7693,31.5021,فندق الزيات
