City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Fairbanks,US,64.8378,-147.7164,22.24,56,75,5.75,broken clouds
206,Kuusamo,FI,65.9667,29.1833,26.64,93,100,12.66,light snow
207,Ponta Do Sol,PT,32.6667,-17.1,56.01,73,26,10.45,scattered clouds
208,Samokov,BG,42.3333,23.55,36.45,96,100,1.72,overcast clouds
209,Cabedelo,BR,-6.9811,-34.8339,77.67,77,9,9.69,clear sky
210,Chapais,CA,49.7834,-74.8492,28.18,94,25,3.18,scattered clouds
211,Severo-Kurilsk,RU,50.6789,156.125,36.41,91,24,7.45,few clouds
212,Siedlce,PL,52.1677,22.2901,33.82,97,100,22.77,snow
213,Ca Mau,VN,9.1769,105.15,79.9,76,57,6.17,broken clouds
214,Kirakira,SB,-10.4544,161.9205,81.36,87,100,15.21,overcast clouds
215,Kalmunai,LK,7.4167,81.8167,77.34,85,21,3.89,few clouds
216,Eureka,US,40.8021,-124.1637,54.93,91,100,3.0,overcast clouds
217,Puerto El Triunfo,SV,13.2833,-88.55,86.92,73,87,6.8,overcast clouds
218,Hudson Bay,CA,52.85,-102.3842,35.82,90,45,8.08,scattered clouds
219,Ust-Kuyga,RU,70.0167,135.6,-4.95,92,100,3.69,overcast clouds
220,Oliveira Dos Brejinhos,BR,-12.3169,-42.8961,73.98,62,40,4.07,scattered clouds
221,Otane,NZ,-39.8833,176.6333,67.01,45,33,2.35,scattered clouds
222,Hvolsvollur,IS,63.7533,-20.2243,32.49,89,100,2.8,light snow
223,Shingu,JP,33.7333,135.9833,59.45,35,0,3.27,clear sky
224,East London,ZA,-33.0153,27.9116,64.53,77,7,7.4,clear sky
225,Luwuk,ID,-0.9516,122.7875,83.7,71,96,2.75,overcast clouds
226,Cayenne,GF,4.9333,-52.3333,81.09,1,100,4.0,overcast clouds
227,Ilhabela,BR,-23.7781,-45.3581,74.53,91,100,3.38,light rain
228,Sanmenxia,CN,34.7747,111.1814,67.03,46,0,6.35,clear sky
229,Zavyalovo,RU,54.5053,82.4484,35.42,83,100,8.75,overcast clouds
230,Bayeux,BR,-7.125,-34.9322,77.63,88,0,3.44,clear sky
231,Merrill,US,45.1805,-89.6835,37.89,92,100,1.01,overcast clouds
232,Cap-Aux-Meules,CA,47.3821,-61.8597,28.45,93,100,25.32,overcast clouds
233,Koslan,RU,63.4564,48.8989,4.14,98,99,2.19,overcast clouds
234,Mbini,GQ,1.574,9.6134,79.3,84,62,3.83,broken clouds
235,Lasa,IT,46.6166,10.7002,36.48,69,34,4.43,scattered clouds
236,Ha Giang,VN,22.8333,104.9833,68.7,64,39,1.05,scattered clouds
237,Saldanha,ZA,-33.0117,17.9442,59.05,87,8,8.21,light rain
238,Yulara,AU,-25.2406,130.9889,75.04,19,0,5.75,clear sky
239,Atambua,ID,-9.1061,124.8925,80.38,66,5,1.92,clear sky
240,Adrar,MR,20.5022,-10.0711,71.28,34,0,8.41,clear sky
241,Liaocheng,CN,36.4439,115.9647,63.68,54,96,12.1,overcast clouds
242,Bathsheba,BB,13.2167,-59.5167,79.41,69,20,17.27,few clouds
243,Erzin,TR,36.9559,36.2,57.31,69,26,2.3,scattered clouds
244,Ambon,ID,-3.6954,128.1814,89.74,62,20,2.3,few clouds
245,Mar Del Plata,AR,-38.0023,-57.5575,60.87,77,0,0.0,clear sky
246,Qaanaaq,GL,77.484,-69.3632,27.34,71,100,9.1,overcast clouds
247,Chistogorskiy,RU,53.9835,87.3843,33.28,97,100,4.34,overcast clouds
248,Denizli,TR,37.8402,29.0698,58.15,44,100,4.88,overcast clouds
249,Huayucachi,PE,-12.1333,-75.2333,50.81,84,70,3.91,broken clouds
250,Ariquemes,BR,-9.9133,-63.0408,73.87,94,100,1.54,overcast clouds
251,Hukuntsi,BW,-24.0,21.75,67.69,47,5,3.31,clear sky
252,Waipawa,NZ,-41.4122,175.5153,67.71,68,100,15.03,light rain
253,Pitimbu,BR,-7.4706,-34.8086,77.59,76,15,8.08,few clouds
254,Batemans Bay,AU,-35.7167,150.1833,66.09,66,49,5.12,scattered clouds
255,Sovetskiy,RU,61.3614,63.5842,29.97,98,100,7.74,overcast clouds
256,Sao Filipe,CV,14.8961,-24.4956,71.11,78,4,5.17,clear sky
257,Saint-Joseph,RE,-21.3667,55.6167,74.21,86,45,8.63,scattered clouds
258,Calama,CL,-22.4667,-68.9333,55.87,26,0,2.62,clear sky
